Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie,Sab
7SM3,SISTEMAS DIGITALES,RIVERA FERNANDEZ JOSUE DANIEL,3,317,12:00-13:30,,12:00-13:30,,12:00-13:30,
7SM3,SISTEMAS DIGITALES,GUDIÑO SANCHEZ JESUS,,,,,,,,
7SM3,ARQUITECTURAS EMBEBIDAS AUTOMOTRICES,GUZMAN DOMINGUEZ ISAAC,3,317,10:30-12:00,,13:30-15:00,10:30-12:00,10:30-12:00,
7SM3,ARQUITECTURAS EMBEBIDAS AUTOMOTRICES,TRUJILLO FRANCO LUIS GERARDO,,,,,,,,
7SM3,APLICACIONES CON MICROCONTROLADORES PARA EL AUTOMOVIL,FABILA BUSTOS DIEGO ADRIAN,5,533,,07:30-09:00 09:00-10:30,10:30-12:00,,09:00-10:30,
7SM3,TOPICOS SELECTOS DE INGENIERIA I,ILIZALITURRI FLORES IAN,5,533,,10:30-12:00 12:00-13:30,,09:00-10:30,,
7SM4,HUMANIDADES IV: DESARROLLO PERSONAL Y PROFESIONAL,ALCANTARA OROZCO ANGELICA,5,533,,,,13:30-15:00,13:30-15:00,
7SM5,INGENIERIA AMBIENTAL AUTOMOTRIZ,ESCAMILLA LOPEZ FRANCISCO JAVIER,3,317,,13:30-15:00,07:30-09:00,,,
8SM1,AUTOMOVILES ELECTRICOS,ZAMORA HERNANDEZ JOSE,3,318,,,12:00-13:30,09:00-10:30,07:30-09:00,
8SM1,INSTRUMENTACION AUTOMOTRIZ,ZAMORA HERNANDEZ JOSE,3,318,10:30-12:00,10:30-12:00,10:30-12:00,,,
8SM1,SISTEMAS DE CONTROL DE MODELOS AUTOMOTRICES,OCHOA GALVAN BLANCA MARGARITA,3,318,,09:00-10:30,09:00-10:30,,09:00-10:30,
8SM1,TOPICOS SELECTOS DE INGENIERIA II,OCHOA GALVAN BLANCA MARGARITA,5,522,12:00-13:30,,,13:30-15:00,10:30-12:00,
8SM2,TECNICAS DE CARACTERIZACION EN MATERIALES AUTOMOTRICES,GARCIA HERNANDEZ MARGARITA,5,538,,10:30-12:00,10:30-12:00 12:00-13:30,,,
8SM2,TECNICAS DE CARACTERIZACION EN MATERIALES AUTOMOTRICES,CRUZ RAMIREZ ALEJANDRO,,,,,,,,
8SM2,TECNOLOGIA DE LA UNION EN MATERIALES AUTOMOTRICES,ANDRACA ADAME JOSE ALBERTO,5,522,10:30-12:00 12:00-13:30,,,,09:00-10:30,
8SM2,ENSAYOS SELECTOS DE MATERIALES AUTOMOTRICES,LOPEZ GRIJALBA YUNUEN,3,328,,12:00-13:30,,10:30-12:00,10:30-12:00,
8SM2,TOPICOS SELECTOS DE INGENIERIA II,TORRES HUERTA AIDE MINERVA,3,321,13:30-15:00,,13:30-15:00,,13:30-15:00,
8SM3,COMUNICACIONES EMBEBIDAS AUTOMOTRICES,ILIZALITURRI FLORES IAN,5,533,09:00-10:30,,12:00-13:30,13:30-15:00,,
8SM3,COMUNICACIONES EMBEBIDAS AUTOMOTRICES,ROA TORT KAREN,,,,,,,,
8SM3,PROGRAMACION DE DISPOSITIVOS MOVILES AUTOMOTRICES,HERNANDEZ QUINTANAR LUIS FELIPE DE JESUS,5,511,10:30-12:00,,10:30-12:00,10:30-12:00,,
8SM3,PROGRAMACION DE DISPOSITIVOS MOVILES AUTOMOTRICES,ROA TORT KAREN,,,,,,,,
8SM3,SISTEMAS INTELIGENTES DEL AUTOMOVIL,CALDERON OSORNO JOSE LUIS,3,317,,10:30-12:00 12:00-13:30,,,09:00-10:30,
8SM3,TOPICOS SELECTOS DE INGENIERIA II,ROA TORT KAREN,5,513,,09:00-10:30,09:00-10:30,09:00-10:30,,
8SM4,EVALUACION ECONOMICA DE PROYECTOS,VERA ROMERO JUAN,5,533,,13:30-15:00,,12:00-13:30,12:00-13:30,
8SM5,HUMANIDADES V: EL HUMANISMO FRENTE A LA GLOBALIZACION,FLORES SUAREZ MONICA EDHALI,5,538,09:00-10:30,09:00-10:30,,09:00-10:30,,
8SM6,EVALUACION ECONOMICA DE PROYECTOS,LEDESMA ORTIZ JAIME,5,527,13:30-15:00,,,12:00-13:30,12:00-13:30,
8SM7,HUMANIDADES V: EL HUMANISMO FRENTE A LA GLOBALIZACION,FLORES SUAREZ MONICA EDHALI,5,531,,,15:00-16:30,15:00-16:30,13:30-15:00,
9SM1,PROYECTO TERMINAL,CEA MONTUFAR CESAR EDUARDO,5,527,16:30-20:30,16:30-20:30,16:30-20:30,16:30-20:30,16:30-20:30,
