Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie,Sab
4MM5,MICROCONTROLADORES AVANZADOS,FABILA BUSTOS DIEGO ADRIAN,5,511,,13:30-15:00,,09:00-10:30,13:30-15:00,
4MM6,INTEGRACION DE UN SISTEMA ROBOTICO,CEA MONTUFAR CESAR EDUARDO,3,312,13:30-15:00,13:30-15:00,13:30-15:00,,,
4MM6,CONTROL DE SISTEMAS ROBOTICOS,VELAZQUEZ VELAZQUEZ JUAN EDUARDO,3,327,12:00-13:30,12:00-13:30,,13:30-15:00,,
4MM7,METODOLOGIA DE LA INVESTIGACION,HERNANDEZ GARCIA DR. DOMINGO,5,518,09:00-10:30,09:00-10:30,09:00-10:30,,,
4MM7,INSTRUMENTACION VIRTUAL APLICADA,GARCIA TOVAR ENRIQUE ARTURO,5,533,12:00-13:30,12:00-13:30,,13:30-15:00,,
4MM7,PROYECTO DE SISTEMAS EMBEBIDOS,OLIVA MORENO LUZ NOE,3,321,13:30-15:00,13:30-15:00,13:30-15:00,,,
4MM8,REALIDAD VIRTUAL,KINANI . JEAN MARIE VIANNEY,3,317,12:00-13:30,,,12:00-15:00,,
5MM1,CONTROL DE MAQUINAS ELECTRICAS,VERGARA HERNANDEZ ERASTO,3,321,07:30-09:00,,07:30-09:00,,,
5MM2,TRABAJO TERMINAL I,FABILA BUSTOS DIEGO ADRIAN,5,508,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,
5MM3,TRABAJO TERMINAL II,MARES CARREÑO JESUS,5,508,07:30-09:00,07:30-09:00,07:30-09:00,07:30-09:00,07:30-09:00,
1SM3,CALCULO DIFERENCIAL E INTEGRAL,GARCIA SANCHEZ SILVESTRE ASCENCION,3,313,07:30-09:00,07:30-09:00,07:30-09:00,,07:30-09:00,
1SM3,FISICA CLASICA,ESCAMILLA ESQUIVEL ADOLFO,3,322,13:30-15:00,13:30-15:00,13:30-15:00,13:30-15:00,,
1SM3,FUNDAMENTOS DE ALGEBRA,CERRO RAMIREZ MIGUEL ANGEL,3,313,,,,12:00-13:30,13:30-15:00,
1SM3,FUNDAMENTOS DE PROGRAMACION,ESCOBAR PIO ABRAHAM,5,511,09:00-10:30,,09:00-10:30,09:00-10:30,09:00-10:30,
1SM3,FUNDAMENTOS DE PROGRAMACION,LEDESMA ORTIZ JAIME,,,,,,,,
2SM1,CALCULO VECTORIAL,VEGA BLANCO MANUEL VLADIMIR,3,321,09:00-10:30,13:30-15:00,10:30-12:00,13:30-15:00,,
2SM1,ECUACIONES DIFERENCIALES,TOLEDO SESMA LEONEL,5,521,13:30-15:00,12:00-13:30,,09:00-10:30,,
2SM1,ELECTRICIDAD Y MAGNETISMO,ARRIAGA MEJIA GERMAN,5,538,12:00-13:30,,12:00-13:30,12:00-13:30,10:30-12:00,
2SM1,HUMANIDADES II: LA COMUNICACION Y LA ING.,MORA RODRIGUEZ JOSÉ ALEJANDRO,5,527,,07:30-09:00,,,07:30-09:00,
2SM1,METODOS NUMERICOS,RIVERA FERNANDEZ JOSUE DANIEL,5,513,10:30-12:00,09:00-10:30,09:00-10:30,,09:00-10:30,
2SM1,QUIMICA APLICADA,PALMA RAMIREZ DIANA,5,523,,10:30-12:00,13:30-15:00,10:30-12:00,,
2SM2,ECUACIONES DIFERENCIALES,TOLEDO SESMA LEONEL,3,322,,,10:30-12:00,12:00-13:30,10:30-12:00,
2SM2,HUMANIDADES II: LA COMUNICACION Y LA ING.,ALCANTARA OROZCO ANGELICA,5,538,10:30-12:00,,,10:30-12:00,,
2SM2,METODOS NUMERICOS,HERNANDEZ QUINTANAR LUIS FELIPE DE JESUS,5,523,09:00-10:30,,09:00-10:30,09:00-10:30,09:00-10:30,
2SM2,QUIMICA APLICADA,PALMA RAMIREZ DIANA,X,X,12:00-13:30,12:00-13:30,12:00-13:30,,,
3SM1,ANALISIS DE CIRCUITOS DE C.D. Y C.A,GONZALEZ SIERRA JAIME,3,312,,07:30-09:00,09:00-10:30,10:30-12:00,09:00-10:30,
3SM1,DINAMICA DE FLUIDOS,CRUZ CASTRO JUAN,3,313,,10:30-12:00,12:00-13:30,12:00-13:30,12:00-13:30,
3SM1,ESTATICA,ANDRACA ADAME JOSE ALBERTO,3,312,10:30-12:00 12:00-13:30,,07:30-09:00,07:30-09:00,,
3SM1,HUMANIDADES III:DESARROLLO HUMANO,ALCANTARA OROZCO ANGELICA,5,521,,12:00-13:30,,,10:30-12:00,
3SM1,TERMODINAMICA I,TORRES HUERTA AIDE MINERVA,3,312,13:30-15:00,,10:30-12:00,,13:30-15:00,
3SM1,INTRO. A LA CIENCIA DE LOS MATERIALES,GARCIA HERNANDEZ MARGARITA,3,312,09:00-10:30,09:00-10:30,,09:00-10:30,,
4SM1,DINAMICA,GARCIA SANCHEZ SILVESTRE ASCENCION,3,311,12:00-13:30,10:30-12:00,12:00-13:30,,12:00-13:30,
4SM1,ELECTRONICA I,CALDERON OSORNO JOSE LUIS,5,523,10:30-12:00,,,09:00-10:30,10:30-12:00,
4SM1,TERMODINAMICA II,MÁRQUEZ ROCHA FACUNDO JOAQUÍN,5,1,13:30-15:00,13:30-15:00,13:30-15:00,13:30-15:00,,
4SM1,OLEONEUMATICA,AVILES VILLAREAL RODRIGO,3,321,09:00-10:30,,09:00-10:30,12:00-13:30,,
4SM1,PROBABILIDAD Y ESTADISTICA,LEDESMA ORTIZ JAIME,5,513,,12:00-13:30,10:30-12:00,,09:00-10:30,
4SM1,RESISTENCIA DE LOS MATERIALES I,LOPEZ GRIJALBA YUNUEN,3,313,,09:00-10:30,,10:30-12:00,07:30-09:00,
5SM1,ELEMENTOS MECANICOS AUTOMOTRICES,HERNANDEZ GARDUÑO JUAN,3,321,12:00-13:30,10:30-12:00,,09:00-10:30,,
5SM1,SISTEMAS AUTOMOTRICES,SIN ASIGNAR,X,X,07:30-09:00,,,12:00-13:30,09:00-10:30,
5SM1,SISTEMAS AUTOMOTRICES,ZAMORA HERNANDEZ JOSE,,,,,,,,
5SM1,TRANSFERENCIA DE CALOR,DOMÍNGUEZ CRESPO MIGUEL ANTONIO,5,523,,09:00-10:30,10:30-12:00,10:30-12:00,,
5SM1,ELECTRICIDAD Y ELECTRONICA AUTOMOTRIZ,ZAMORA HERNANDEZ JOSE,9,1,,07:30-09:00,,07:30-09:00,10:30-12:00,
5SM1,MODELADO Y SIMULACION ASISTIDOS POR COMPUTADORA,CRUZ CASTRO JUAN,5,512,10:30-12:00,,09:00-10:30,,13:30-15:00,
5SM1,METROLOGIA Y NORMALIZACION,ARRIAGA MEJIA GERMAN,5,522,09:00-10:30,12:00-13:30,13:30-15:00,,,
6SM1,DISEÑO AUTOMOTRIZ,CRUZ CASTRO JUAN,3,318,13:30-15:00,,13:30-15:00,,07:30-09:00,
6SM1,DINAMICA DE VEHICULO,SIN ASIGNAR,X,X,09:00-10:30,07:30-09:00,,,13:30-15:00,
6SM1,DINAMICA DE VEHICULO,ZAMORA HERNANDEZ JOSE,,,,,,,,
6SM1,MOTORES DE COMBUSTION INTERNA,SIN ASIGNAR,X,X,,,09:00-10:30,13:30-15:00,10:30-12:00,
6SM1,"SISTEMAS DE DIRECCION, SUSPENSION Y FRENOS",ZAMORA HERNANDEZ JOSE,9,1,,09:00-10:30,,09:00-10:30,09:00-10:30,
6SM1,TREN MOTRIZ,SIN ASIGNAR,X,X,10:30-12:00,13:30-15:00,10:30-12:00,,,
6SM1,TREN MOTRIZ,ZAMORA HERNANDEZ JOSE,,,,,,,,
6SM1,PROCESOS DE MANUFACTURA AUTOMOTRIZ,MENDEZ RAMOS MARIO,5,507,12:00-13:30,10:30-12:00,,12:00-13:30,,
7SM1,TEORIA DE CONTROL,GALVAN GUERRA ROSALBA,5,537,10:30-12:00,,,10:30-12:00,13:30-15:00,
7SM1,ELECTRONICA OPERACIONAL Y DE POTENCIA,TRUJILLO FRANCO LUIS GERARDO,5,522,12:00-13:30,12:00-13:30,10:30-12:00,,10:30-12:00,
7SM1,INTERFACES Y MICRO CONTROLADORES,RIVERA FERNANDEZ JOSUE DANIEL,3,301,,13:30-15:00,13:30-15:00,13:30-15:00,12:00-13:30,
7SM1,TOPICOS SELECTOS DE INGENIERIA I,VELAZQUEZ VELAZQUEZ JUAN EDUARDO,5,527,09:00-10:30,10:30-12:00,,12:00-13:30,,
7SM2,TECNOLOGIA DE MATERIALES AUTOMOTRIZ,DOMÍNGUEZ CRESPO MIGUEL ANTONIO,5,521,09:00-10:30,10:30-12:00,09:00-10:30,,,
7SM2,TECNOLOGIA DE LA SOLDADURA,MENDEZ RAMOS MARIO,5,507,10:30-12:00,,10:30-12:00,13:30-15:00,12:00-13:30,
7SM2,PROCESOS DE CONFORMADO,HERNANDEZ GARDUÑO JUAN,5,507,,12:00-13:30,13:30-15:00,10:30-12:00,13:30-15:00,
7SM2,TOPICOS SELECTOS DE INGENIERIA I,ROA TORT KAREN,5,533,15:00-16:30,,,12:00-13:30,10:30-12:00,
7SM3,SISTEMAS DIGITALES,RIVERA FERNANDEZ JOSUE DANIEL,3,317,,12:00-13:30,10:30-12:00,,13:30-15:00,
7SM3,ARQUITECTURAS EMBEBIDAS AUTOMOTRICES,GUZMAN DOMINGUEZ ISAAC,3,317,10:30-12:00,13:30-15:00,13:30-15:00,,10:30-12:00,
7SM3,ARQUITECTURAS EMBEBIDAS AUTOMOTRICES,ESCOBAR PIO ABRAHAM,,,,,,,,
7SM3,APLICACIONES CON MICROCONTROLADORES PARA EL AUTOMOVIL,CASTAÑEDA GALVAN ADRIAN ANTONIO,3,317,09:00-10:30,10:30-12:00,15:00-16:30,12:00-13:30,,
7SM3,APLICACIONES CON MICROCONTROLADORES PARA EL AUTOMOVIL,KINANI . JEAN MARIE VIANNEY,,,,,,,,
7SM3,TOPICOS SELECTOS DE INGENIERIA I,ILIZALITURRI FLORES IAN,5,527,12:00-13:30,,09:00-10:30,10:30-12:00,,
7SM4,HUMANIDADES IV: DESARROLLO PERSONAL Y PROFESIONAL,ALCANTARA OROZCO ANGELICA,5,533,13:30-15:00,,,,09:00-10:30,
7SM5,INGENIERIA AMBIENTAL AUTOMOTRIZ,ESCAMILLA LOPEZ FRANCISCO JAVIER,5,528,,09:00-10:30,,09:00-10:30,,
8SM1,AUTOMOVILES ELECTRICOS,ZAMORA HERNANDEZ JOSE,9,1,,10:30-12:00,10:30-12:00,,12:00-13:30,
8SM1,INSTRUMENTACION AUTOMOTRIZ,ZAMORA HERNANDEZ JOSE,9,1,12:00-13:30,12:00-13:30,,10:30-12:00,,
8SM1,SISTEMAS DE CONTROL DE MODELOS AUTOMOTRICES,GALVAN GUERRA ROSALBA,3,307,09:00-10:30,13:30-15:00,,,10:30-12:00,
8SM2,TECNICAS DE CARACTERIZACION EN MATERIALES AUTOMOTRICES,TORRES HUERTA AIDE MINERVA,5,532,,13:30-15:00,09:00-10:30,09:00-10:30,,
8SM2,ENSAYOS SELECTOS DE MATERIALES AUTOMOTRICES,LOPEZ GRIJALBA YUNUEN,5,528,10:30-12:00,,10:30-12:00,,10:30-12:00,
8SM2,TOPICOS SELECTOS DE INGENIERIA II,HERNANDEZ CHAVEZ MACARIA,5,527,09:00-10:30,10:30-12:00,,,12:00-13:30,
8SM3,COMUNICACIONES EMBEBIDAS AUTOMOTRICES,ILIZALITURRI FLORES IAN,5,537,09:00-10:30,12:00-13:30,10:30-12:00,,,
8SM3,COMUNICACIONES EMBEBIDAS AUTOMOTRICES,ESCOBAR PIO ABRAHAM,,,,,,,,
8SM3,PROGRAMACION DE DISPOSITIVOS MOVILES AUTOMOTRICES,HERNANDEZ QUINTANAR LUIS FELIPE DE JESUS,3,318,,13:30-15:00,,10:30-12:00,10:30-12:00,
8SM3,SISTEMAS INTELIGENTES DEL AUTOMOVIL,CALDERON OSORNO JOSE LUIS,3,318,12:00-13:30,10:30-12:00,,,12:00-13:30,
8SM3,TOPICOS SELECTOS DE INGENIERIA II,ROA TORT KAREN,3,317,10:30-12:00,,,09:00-10:30,13:30-15:00,
8SM4,HUMANIDADES V: EL HUMANISMO FRENTE A LA GLOBALIZACION,ALCANTARA OROZCO ANGELICA,5,532,,09:00-10:30,13:30-15:00,12:00-13:30,,
8SM5,EVALUACION ECONOMICA DE PROYECTOS,VERA ROMERO JUAN,5,518,13:30-15:00,,,13:30-15:00,09:00-10:30,
9SM1,PROYECTO TERMINAL,CEA MONTUFAR CESAR EDUARDO,5,527,16:30-20:30,16:30-20:30,16:30-20:30,16:30-20:30,16:30-20:30,
